Date,time,Thermo1,Thermo2,Thermo3,Thermo4
2024-04-13,08:53:02,probe nc,probe nc,probe nc,24.50
2024-04-13,08:53:03,probe nc,probe nc,probe nc,24.0
2024-04-13,08:53:04,probe nc,probe nc,probe nc,24.50
2024-04-13,08:53:05,probe nc,probe nc,probe nc,24.25
2024-04-13,08:53:06,probe nc,probe nc,probe nc,23.50
2024-04-13,08:53:07,probe nc,probe nc,probe nc,24.0
2024-04-13,08:53:08,probe nc,probe nc,probe nc,24.25
2024-04-13,08:53:09,probe nc,probe nc,probe nc,24.0
2024-04-13,08:53:10,probe nc,probe nc,probe nc,24.25
2024-04-13,08:53:11,probe nc,probe nc,probe nc,24.25
2024-04-13,08:53:12,probe nc,probe nc,probe nc,24.25
2024-04-13,08:53:13,probe nc,probe nc,probe nc,24.0
2024-04-13,08:53:14,probe nc,probe nc,probe nc,24.25
2024-04-13,08:53:15,probe nc,probe nc,probe nc,24.0
2024-04-13,08:53:16,probe nc,probe nc,probe nc,24.0
2024-04-13,08:53:17,probe nc,probe nc,probe nc,23.75
2024-04-13,08:53:18,probe nc,probe nc,probe nc,23.75
2024-04-13,08:53:19,probe nc,probe nc,probe nc,24.25
2024-04-13,08:53:20,probe nc,probe nc,probe nc,24.25
2024-04-13,08:53:21,probe nc,probe nc,probe nc,24.0
2024-04-13,08:53:22,probe nc,probe nc,probe nc,24.25
2024-04-13,08:53:23,probe nc,probe nc,probe nc,23.75
2024-04-13,08:53:24,probe nc,probe nc,probe nc,24.25
2024-04-13,08:53:25,probe nc,probe nc,probe nc,24.25
2024-04-13,08:53:26,probe nc,probe nc,probe nc,24.0
2024-04-13,08:53:27,probe nc,probe nc,probe nc,24.25
2024-04-13,08:53:28,probe nc,probe nc,probe nc,24.0
2024-04-13,08:53:29,probe nc,probe nc,probe nc,24.75
2024-04-13,08:53:30,probe nc,probe nc,probe nc,24.25
2024-04-13,08:53:31,probe nc,probe nc,probe nc,24.0
2024-04-13,08:53:32,probe nc,probe nc,probe nc,23.75
2024-04-13,08:53:33,probe nc,probe nc,probe nc,24.25
2024-04-13,08:53:34,probe nc,probe nc,probe nc,24.50
2024-04-13,08:53:35,probe nc,probe nc,probe nc,24.50
2024-04-13,08:53:36,probe nc,probe nc,probe nc,24.25
