Date,time,Thermo1,Thermo2,Thermo3,Thermo4
2024-04-13,08:48:24,probe nc,probe nc,probe nc,27.25
2024-04-13,08:48:25,probe nc,probe nc,probe nc,27.75
2024-04-13,08:48:26,probe nc,probe nc,probe nc,27.25
2024-04-13,08:48:27,probe nc,probe nc,probe nc,27.25
2024-04-13,08:48:28,probe nc,probe nc,probe nc,27.75
2024-04-13,08:48:29,probe nc,probe nc,probe nc,27.25
2024-04-13,08:48:30,probe nc,probe nc,probe nc,27.50
2024-04-13,08:48:31,probe nc,probe nc,probe nc,26.75
2024-04-13,08:48:32,probe nc,probe nc,probe nc,27.50
2024-04-13,08:48:33,probe nc,probe nc,probe nc,27.50
2024-04-13,08:48:34,probe nc,probe nc,probe nc,27.0
2024-04-13,08:48:35,probe nc,probe nc,probe nc,27.50
2024-04-13,08:48:36,probe nc,probe nc,probe nc,27.25
2024-04-13,08:48:37,probe nc,probe nc,probe nc,27.25
2024-04-13,08:48:38,probe nc,probe nc,probe nc,27.25
2024-04-13,08:48:39,probe nc,probe nc,probe nc,27.0
2024-04-13,08:48:40,probe nc,probe nc,probe nc,26.75
2024-04-13,08:48:41,probe nc,probe nc,probe nc,27.0
2024-04-13,08:48:42,probe nc,probe nc,probe nc,26.75
2024-04-13,08:48:43,probe nc,probe nc,probe nc,26.75
2024-04-13,08:48:44,probe nc,probe nc,probe nc,26.50
2024-04-13,08:48:45,probe nc,probe nc,probe nc,26.50
2024-04-13,08:48:46,probe nc,probe nc,probe nc,26.25
2024-04-13,08:48:47,probe nc,probe nc,probe nc,26.50
2024-04-13,08:48:48,probe nc,probe nc,probe nc,26.25
2024-04-13,08:48:49,probe nc,probe nc,probe nc,26.75
2024-04-13,08:48:50,probe nc,probe nc,probe nc,25.50
2024-04-13,08:48:51,probe nc,probe nc,probe nc,26.25
2024-04-13,08:48:52,probe nc,probe nc,probe nc,26.25
2024-04-13,08:48:53,probe nc,probe nc,probe nc,26.25
2024-04-13,08:48:54,probe nc,probe nc,probe nc,26.0
2024-04-13,08:48:55,probe nc,probe nc,probe nc,26.25
2024-04-13,08:48:56,probe nc,probe nc,probe nc,26.25
2024-04-13,08:48:57,probe nc,probe nc,probe nc,26.0
2024-04-13,08:48:58,probe nc,probe nc,probe nc,25.75
2024-04-13,08:48:59,probe nc,probe nc,probe nc,26.0
2024-04-13,08:49:00,probe nc,probe nc,probe nc,25.50
2024-04-13,08:49:01,probe nc,probe nc,probe nc,25.50
2024-04-13,08:49:02,probe nc,probe nc,probe nc,25.75
2024-04-13,08:49:03,probe nc,probe nc,probe nc,26.0
