Date,time,Thermo1,Thermo2,Thermo3,Thermo4
2024-04-13,12:40:13,probe nc,probe nc,probe nc,probe nc
2024-04-13,12:40:43,probe nc,probe nc,probe nc,probe nc
2024-04-13,12:41:13,probe nc,probe nc,probe nc,probe nc
2024-04-13,12:41:43,probe nc,probe nc,probe nc,probe nc
2024-04-13,12:42:13,probe nc,probe nc,probe nc,probe nc
2024-04-13,12:42:44,probe nc,probe nc,probe nc,probe nc
2024-04-13,12:43:14,probe nc,probe nc,probe nc,probe nc
2024-04-13,12:43:44,probe nc,probe nc,probe nc,probe nc
2024-04-13,12:44:14,probe nc,probe nc,probe nc,probe nc
2024-04-13,12:44:44,probe nc,probe nc,probe nc,probe nc
2024-04-13,12:45:14,probe nc,probe nc,probe nc,probe nc
2024-04-13,12:45:44,probe nc,probe nc,probe nc,probe nc
2024-04-13,12:46:15,probe nc,probe nc,probe nc,probe nc
2024-04-13,12:46:45,probe nc,probe nc,probe nc,probe nc
2024-04-13,12:47:15,probe nc,probe nc,probe nc,probe nc
2024-04-13,12:47:45,probe nc,probe nc,probe nc,probe nc
2024-04-13,12:48:15,probe nc,probe nc,probe nc,probe nc
2024-04-13,12:48:45,probe nc,probe nc,probe nc,probe nc
2024-04-13,12:49:16,probe nc,probe nc,probe nc,probe nc
2024-04-13,12:49:46,probe nc,probe nc,probe nc,probe nc
2024-04-13,12:50:16,probe nc,probe nc,probe nc,probe nc
2024-04-13,12:50:46,probe nc,probe nc,probe nc,probe nc
2024-04-13,12:51:16,probe nc,probe nc,probe nc,probe nc
2024-04-13,12:51:46,probe nc,probe nc,probe nc,probe nc
2024-04-13,12:52:16,probe nc,probe nc,probe nc,probe nc
2024-04-13,12:52:47,probe nc,probe nc,probe nc,probe nc
2024-04-13,12:53:17,probe nc,probe nc,probe nc,probe nc
2024-04-13,12:53:47,probe nc,probe nc,probe nc,probe nc
2024-04-13,12:54:17,probe nc,probe nc,probe nc,probe nc
2024-04-13,12:54:47,probe nc,probe nc,probe nc,probe nc
2024-04-13,12:55:17,probe nc,probe nc,probe nc,probe nc
2024-04-13,12:55:47,probe nc,probe nc,probe nc,probe nc
2024-04-13,12:56:18,probe nc,probe nc,probe nc,probe nc
2024-04-13,12:56:48,probe nc,probe nc,probe nc,probe nc
2024-04-13,12:57:18,probe nc,probe nc,probe nc,probe nc
2024-04-13,12:57:48,probe nc,probe nc,probe nc,probe nc
2024-04-13,12:58:18,probe nc,probe nc,probe nc,probe nc
2024-04-13,12:58:48,probe nc,probe nc,probe nc,probe nc
2024-04-13,12:59:19,probe nc,probe nc,probe nc,probe nc
2024-04-13,12:59:49,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:00:19,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:00:49,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:01:19,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:01:49,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:02:19,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:02:50,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:03:20,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:03:50,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:04:20,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:04:50,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:05:20,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:05:50,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:06:21,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:06:51,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:07:21,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:07:51,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:08:21,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:08:51,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:09:22,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:09:52,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:10:22,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:10:52,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:11:22,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:11:52,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:12:22,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:12:53,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:13:23,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:13:53,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:14:23,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:14:53,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:15:23,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:15:53,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:16:24,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:16:54,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:17:24,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:17:54,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:18:24,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:18:54,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:19:25,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:19:55,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:20:25,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:20:55,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:21:25,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:21:55,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:22:25,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:22:56,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:23:26,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:23:56,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:24:26,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:24:56,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:25:26,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:25:56,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:26:27,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:26:57,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:27:27,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:27:57,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:28:27,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:28:57,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:29:27,probe nc,probe nc,probe nc,probe nc
2024-04-13,13:29:57,probe nc,probe nc,probe nc,probe nc
